,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
7215,Maruti Suzuki,Ignis,2022.0,2.0,8000.0,Automatic,second,Petrol,669000.0
7216,Hyundai,i20,2011.0,13.0,85000.0,Automatic,second,Hybrid/CNG,150000.0
7217,Maruti Suzuki,maruti-suzuki-dzire,2017.0,7.0,62000.0,Automatic,first,Petrol,535000.0
7218,Skoda,Slavia,2022.0,2.0,14000.0,Automatic,first,Petrol,1680000.0
7219,Maruti Suzuki,Stingray,2016.0,8.0,72500.0,Automatic,first,Hybrid/CNG,270000.0
7220,Hyundai,i10,2011.0,13.0,20198.0,Manual,first,Petrol,175000.0
7221,Maruti Suzuki,Grand Vitara,2023.0,1.0,17000.0,Manual,first,Petrol,1495000.0
7222,Ford,Figo,2016.0,8.0,44000.0,Automatic,second,Petrol,450000.0
7223,Maruti Suzuki,Ritz,2012.0,12.0,70000.0,Manual,second,Diesel,345000.0
7224,Toyota,Innova,2014.0,10.0,225000.0,Manual,second,Diesel,550000.0
7225,Maruti Suzuki,Ignis,2018.0,6.0,40200.0,Manual,second,Petrol,550000.0
7226,Honda,Civic,2008.0,16.0,50000.0,Automatic,first,Hybrid/CNG,40000.0
7227,Volkswagen,Polo,2017.0,7.0,77948.0,Manual,second,Diesel,549999.0
7228,Honda,City,2021.0,3.0,62000.0,Automatic,first,Petrol,1050000.0
7229,Renault,KWID,2017.0,7.0,24000.0,Automatic,second,Hybrid/CNG,230000.0
7230,Maruti Suzuki,Wagon-R,2018.0,6.0,102200.0,Manual,first,Hybrid/CNG,320000.0
7231,Hyundai,Venue,2019.0,5.0,100000.0,Manual,first,Diesel,865000.0
7232,Maruti Suzuki,maruti-suzuki-dzire,2010.0,14.0,118979.0,Manual,first,Diesel,200000.0
7233,Mercedes-Benz,M-Class,2013.0,11.0,130000.0,Automatic,second,Diesel,1890000.0
7234,Honda,Brio,2015.0,9.0,56000.0,Automatic,first,Hybrid/CNG,365000.0
7235,Mahindra,Bolero,2015.0,9.0,115217.0,Manual,first,Diesel,775000.0
